ma,year,R_squared,SYNCH,BIG4,VOL,SIZE,LEV,S_ROA,M/B,INDN,INDS,Lamda,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,Industry_Congnghethongtin,Industry_Daukhi,Industry_Dichvutieudung,Industry_Duocphamvayte,Industry_Hangtieudung,Industry_Nguyenvatlieu,Industry_Taichinh,Industry_Tienichcongdong,Industry_Vienthong
AAM,2023,0.051030692,-2.922949192,0,0.097067929,11.3280886,0.048020639,0.036698477,0.480121128,2.772588722,32.18645366,0.679388217,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
AAM,2021,0.036332775,-3.278025809,0,0.225677786,11.30338509,0.033622267,0.03099272,0.74970556,2.772588722,32.03337196,0.678077616,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
AAM,2019,0.014209377,-4.239541916,0,0.268702136,11.3569966,0.070733977,0.017688968,0.683266202,2.772588722,32.10607173,0.677757935,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
AAM,2018,0.003561464,-5.634015709,0,0.35632355,11.36165048,0.07949234,0.017005779,0.605494686,2.772588722,32.17658843,0.659958793,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AAM,2022,0.138490815,-1.82788171,0,0.59318123,11.33960951,0.04137291,0.039006026,0.674663177,2.772588722,32.14319524,0.677059768,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
AAT,2023,0.370928517,-0.52823553,0,2.26007632,12.00489764,0.300314059,0.027685378,0.354285106,2.63905733,,0.676544182,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
AAT,2022,0.229769322,-1.209614191,0,3.749137458,12.01374735,0.312037706,0.029278066,0.45554028,2.63905733,,0.670856454,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
AAT,2021,0.104180185,-2.15161735,0,4.597412547,11.98972224,0.315248502,0.018209542,0.481800183,2.63905733,,0.678179565,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
AAV,2022,0.543493559,0.174415047,0,0.462826882,12.033265,0.250581626,0.029523842,0.332542142,4.234106505,35.06242625,0.61297748,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AAV,2019,0.004978087,-5.297719132,0,1.482535968,11.76992009,0.366278433,0.030409013,1.110644089,4.234106505,34.59463017,0.607870702,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
AAV,2018,0.039842279,-3.182168919,0,1.818244684,11.59123456,0.490684564,0.034612586,0.629369345,4.17438727,34.3131777,0.593350263,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AAV,2023,0.32804462,-0.717042304,0,2.0431314,11.96289069,0.150531195,0.033243833,0.327291721,4.234106505,35.16238338,0.650080485,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
AAV,2020,0.198754853,-1.394094778,0,2.158861212,11.77867188,0.354979435,0.029526288,1.752202528,4.234106505,34.71480462,0.616380065,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AAV,2021,0.118514768,-2.006570668,0,4.706657234,11.99650266,0.186696007,0.027494368,0.363527722,4.234106505,34.81663746,0.611782375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ABR,2020,0.071166353,-2.568909518,0,0.014159403,11.45093067,0.162873558,0.024931969,1.725593266,2.079441542,29.83487336,0.681477093,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ABR,2022,0.031176761,-3.436409209,0,0.029235302,11.5707562,0.233828166,0.025127016,0.62421992,2.079441542,30.23027072,0.681529293,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ABR,2023,0.009368122,-4.661030384,0,0.047759942,11.58442342,0.176897884,0.025132384,0.816098482,2.079441542,30.18421323,0.680422968,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ABR,2018,0.026588154,-3.600341502,0,0.053144536,10.55617792,0.074362849,0.013264227,1.440862514,2.079441542,29.77406149,0.657330353,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ABR,2021,0.019250182,-3.930796881,0,0.468952534,11.49487074,0.181590517,0.023603198,0.641213201,2.079441542,30.30093689,0.681018712,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ABR,2019,0.019471843,-3.919121872,0,0.76412658,11.41234882,0.180788177,0.014956773,2.342807693,2.079441542,29.53637769,0.670875245,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ABS,2020,0.067757404,-2.62165934,0,1.557887832,12.06822141,0.627990911,0.008882286,1.918069184,2.772588722,,0.671405916,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ABS,2021,0.04334395,-3.094276781,0,2.133378778,12.20220262,0.41843554,0.008032289,0.477545371,2.772588722,,0.668523339,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ABS,2022,0.467691851,-0.129412906,0,2.950608759,12.22252688,0.457442109,0.015428915,0.528224095,2.772588722,,0.663144476,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ABS,2023,0.371744516,-0.524740072,0,4.224210415,12.19843861,0.421251182,0.019973339,0.377258067,2.772588722,,0.672201699,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ABT,2019,0.017087914,-4.052148237,1,0.009798822,11.73115475,0.232737033,0.03177065,1.109750661,2.772588722,32.10607173,0.674924761,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ABT,2023,0.052433928,-2.894342808,1,0.01436584,11.81383736,0.246498062,0.033450515,0.999560625,2.772588722,32.18645366,0.672840429,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ABT,2020,0.040602124,-3.162485507,1,0.017840219,11.73533949,0.244616221,0.038737555,1.185056724,2.772588722,32.19421151,0.683087165,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ABT,2022,0.060767483,-2.738008245,1,0.043409158,11.7941672,0.243596343,0.035031208,0.980755396,2.772588722,32.14319524,0.67219907,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ABT,2017,0.026336991,-3.61009081,1,0.084682216,11.80232635,0.362931164,0.04036312,1.5010556,2.772588722,32.11045936,0.673666486,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ABT,2018,0.014829547,-4.196193091,1,0.094620735,11.72879622,0.21635391,0.036683454,1.115996741,2.772588722,32.17658843,0.655540011,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ABT,2016,0.029901212,-3.479498911,1,0.235066754,11.81242966,0.359738796,0.033259309,1.068968092,2.708050201,32.04885343,0.654878773,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ABT,2021,0.046601784,-3.018393852,1,0.776557444,11.77398673,0.29561836,0.036156535,1.243576907,2.772588722,32.03337196,0.675095968,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ACC,2018,0.126079565,-1.936076163,0,0.019733382,11.56472353,0.367989427,0.024591958,0.883702305,3.761200116,31.90152527,0.659209857,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ACC,2017,0.017639064,-4.019842804,0,0.040469991,11.52228616,0.328371937,0.028119896,0.975082818,3.737669618,31.83863446,0.678061582,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ACC,2016,0.027414941,-3.568869388,0,0.06667927,11.50790902,0.312742413,0.005827545,0.930762029,3.713572067,31.7447172,0.655531021,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ACC,2019,0.017619199,-4.020989826,0,0.201129155,11.69637388,0.499853463,0.021355183,0.643648614,3.761200116,31.96163948,0.679282642,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ACC,2020,0.054211681,-2.85912238,0,0.292599956,11.96047281,0.444989916,0.020282554,1.361681099,3.761200116,32.00997821,0.681970399,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ACC,2021,0.198150091,-1.397896668,0,0.376257684,12.07024592,0.595865148,0.02987356,0.697768419,3.761200116,32.09515594,0.681249693,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ACC,2022,0.162137982,-1.642405715,0,0.502959501,12.32217268,0.4208291,0.030882935,1.187169015,3.761200116,32.18623781,0.672120584,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ACC,2023,0.043090879,-3.100397085,0,0.508631365,12.37144521,0.453649039,0.03388086,1.172530774,3.761200116,32.17513581,0.672462731,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ACG,2023,0.410249311,-0.362934835,1,0.030361903,12.74210301,0.244206377,0.035992036,1.459626554,1.791759469,,0.618835645,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ACG,2021,0.206343477,-1.347108631,1,0.104997024,12.69748383,0.242050917,0.035637859,0.919019972,1.791759469,,0.630580629,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ACG,2022,0.439483034,-0.243260398,1,0.125244876,12.73776552,0.284421212,0.032700581,1.283035612,1.791759469,,0.608546351,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ACL,2017,0.00636869,-5.049972433,0,0.07539346,12.04124823,0.65992092,0.002811662,1.981453431,2.772588722,32.11045936,0.661829807,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACL,2016,0.028193007,-3.540083247,0,0.265553554,12.07374133,0.702645087,0.003169297,0.562900274,2.708050201,32.04885343,0.648653942,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACL,2018,0.014678104,-4.206611537,0,0.331025266,12.12819823,0.584060879,0.08390107,0.856879901,2.772588722,32.17658843,0.641724211,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACL,2020,0.221319881,-1.257991249,0,0.389813377,12.21998827,0.581535243,0.070108892,1.198974547,2.772588722,32.19421151,0.677535453,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ACL,2019,0.100633319,-2.190207423,0,0.41749039,12.16470611,0.544017304,0.074652454,0.520137023,2.772588722,32.10607173,0.66702773,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ACL,2023,0.298561118,-0.854159107,0,0.577992791,12.24283455,0.543133456,0.059837369,0.815959276,2.772588722,32.18645366,0.669526606,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ACL,2021,0.424276144,-0.305243601,0,0.646508421,12.16381093,0.515524165,0.065332696,0.8307146,2.772588722,32.03337196,0.667683896,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ACL,2022,0.519335492,0.077380558,0,1.312302631,12.17066356,0.44348783,0.061050983,0.727074157,2.772588722,32.14319524,0.668176724,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ADC,2018,0.028898327,-3.514647474,0,0.015929229,11.07035046,0.550005611,0.005814403,0.913736452,2.995732274,28.69776577,0.661720276,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADC,2022,0.008643604,-4.742254513,0,0.01989231,11.20939574,0.552971349,0.006656762,0.999995583,2.995732274,28.92239926,0.678867926,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ADC,2019,0.025895711,-3.627441004,0,0.031301087,11.1104968,0.552649549,0.005275657,1.108467671,2.995732274,28.76942694,0.678359601,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ADC,2016,0.023539622,-3.725249114,0,0.0430399,10.96226972,0.504801112,0.002529467,1.091910533,2.995732274,28.60030932,0.658807903,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADC,2017,0.01133003,-4.468903874,0,0.043232938,11.04056133,0.552970893,0.006981422,1.059920325,2.995732274,28.67793837,0.679709621,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADC,2023,0.026385828,-3.608188041,0,0.063034621,11.21017929,0.519049642,0.00625679,0.96857187,2.995732274,28.94892524,0.678095748,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ADC,2021,0.029856503,-3.481041327,0,0.082959929,11.15780908,0.534867906,0.007190109,1.022823856,2.995732274,28.88547497,0.679327074,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ADC,2020,0.008527088,-4.75594372,0,0.249157033,11.13781372,0.537172124,0.005300766,1.410443896,2.995732274,28.78669004,0.684133523,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ADG,2023,0.006081417,-5.0964176,0,0.196179862,11.65311034,0.230554511,0.062567027,1.179677932,0,26.83227815,0.673256216,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ADG,2020,0.097005314,-2.230950909,1,0.439204433,11.64836995,0.460264533,0.051528924,3.8595517,0,26.821363,0.666516884,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ADG,2022,0.19725591,-1.40353405,0,1.024284272,11.61248998,0.207452693,0.055002715,2.422986128,0,26.73874632,0.663172029,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ADG,2021,0.131613397,-1.886768195,0,1.375308283,11.65282706,0.400684599,0.059014295,1.863777081,0,26.83162589,0.66890236,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ADP,2019,0.003269899,-5.71972096,0,0.007705827,11.46736626,0.216072134,0.08686036,1.870270613,3.761200116,31.96163948,0.667236236,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ADP,2018,0.005828849,-5.139089837,0,0.038833652,11.45705527,0.234727182,0.095278618,1.170128864,3.761200116,31.90152527,0.653432602,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADP,2016,0.02494046,-3.666007134,0,0.040253462,11.46414066,0.304695207,0.065133884,2.276114752,3.713572067,31.7447172,0.641948268,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADP,2021,0.09006291,-2.312867035,0,0.041070471,11.51973644,0.159745654,0.076869919,1.493342847,3.761200116,32.09515594,0.670401214,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ADP,2020,0.010061463,-4.588930273,0,0.066611665,11.51819477,0.186015068,0.081467977,1.482099667,3.761200116,32.00997821,0.677075486,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ADP,2022,0.028317291,-3.535556719,0,0.066956252,11.5544933,0.234774425,0.076323699,1.553705113,3.761200116,32.18623781,0.668385731,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ADP,2017,0.00967888,-4.628083029,0,0.077326841,11.49259465,0.300265112,0.083070479,1.299207217,3.737669618,31.83863446,0.671738472,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADP,2023,0.011687229,-4.437502499,0,0.077422237,11.58129939,0.246869487,0.071884732,1.94946879,3.761200116,32.17513581,0.667523562,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ADS,2019,0.017271547,-4.041272371,0,0.098112942,12.23891971,0.76745774,0.015135503,0.769126762,2.63905733,30.72905319,0.663842511,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ADS,2020,0.042165663,-3.123068614,0,0.118365853,12.26431978,0.770310842,0.014370331,1.895040464,2.63905733,30.78738672,0.669820426,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ADS,2018,0.088764419,-2.328815577,0,0.164387191,12.23373408,0.736135018,0.012445691,0.621040738,2.63905733,30.73799036,0.642414329,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ADS,2016,0.077720407,-2.473730556,0,0.660949422,12.1021625,0.797361463,0.013758953,1.178075641,2.197224577,30.1011905,0.64859234,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ADS,2023,0.360572344,-0.572880874,0,2.036873443,12.39859829,0.633255998,0.013847999,0.630210994,2.63905733,30.98833276,0.66356598,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ADS,2017,0.003534663,-5.641596417,0,2.307119219,12.19455095,0.724733161,0.015112092,0.805521813,2.397895273,30.45785673,0.6655995,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ADS,2021,0.130841419,-1.893539546,0,2.613179414,12.2977974,0.705867641,0.015728808,0.641551461,2.63905733,30.92816163,0.666774395,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ADS,2022,0.378185397,-0.497257439,0,3.277981227,12.33879399,0.698814433,0.014800219,0.856132846,2.63905733,30.98657412,0.662124308,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
AGG,2022,0.092153416,-2.287620647,1,0.200262062,13.04526539,0.754416204,0.044941571,1.133842999,4.234106505,,0.512832417,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AGG,2023,0.240142332,-1.15189934,1,0.504525211,12.96817454,0.690519935,0.042904959,0.709090155,4.234106505,,0.55703317,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
AGG,2020,0.13862771,-1.826734808,1,1.718711196,12.98915567,0.762058362,0.048468392,1.89814635,4.234106505,,0.596313008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AGG,2021,0.150470309,-1.730917109,1,6.182059541,13.09915654,0.787057221,0.044121231,0.92165383,4.234106505,,0.593909486,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
AGM,2019,0.07094523,-2.572259519,1,0.048178675,11.88765224,0.428331552,0.024558294,0.573178277,2.944438979,32.89920637,0.654682123,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
AGM,2017,0.001501683,-6.499665969,1,0.049913123,11.85675869,0.499229755,0.02788867,0.53324481,2.890371758,32.61661942,0.653769246,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AGM,2018,0.027154265,-3.578691409,1,0.099872433,11.74182369,0.316385756,0.024009886,0.496905518,2.944438979,32.65649857,0.634537079,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AGM,2016,0.015896187,-4.125652097,1,0.312418314,11.87002225,0.528003435,0.036361329,0.452511424,2.890371758,32.51928993,0.637931497,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AGM,2020,0.12450687,-1.950426405,1,0.440523129,11.8800161,0.421377786,0.022068918,1.32681437,2.944438979,33.02024369,0.660591573,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AGM,2021,0.03518972,-3.311177472,1,2.331170567,12.26867531,0.740005171,0.02016741,0.280923219,2.944438979,33.13390552,0.632004801,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
AGM,2023,0.085758129,-2.366564284,0,3.406966774,12.09239771,0.982356369,0.071838894,3.251998371,2.944438979,33.27827289,0.690427653,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
AGM,2022,0.098243421,-2.216896331,0,3.704600553,12.19887671,0.815274889,0.045192203,0.391406816,2.944438979,33.20259796,0.669211889,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ALT,2019,0.001149816,-6.767002816,0,0.021244906,11.38933384,0.121330195,0.004326223,0.295216348,2.995732274,28.76942694,0.680909774,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ALT,2018,0.022844454,-3.755937486,0,0.025204692,11.39987998,0.157590108,0.004304153,0.320960777,2.995732274,28.69776577,0.663711457,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALT,2016,0.01962477,-3.911142857,0,0.027600597,11.35141773,0.084117015,0.000254145,0.372071741,2.995732274,28.60030932,0.660579858,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALT,2020,0.020939286,-3.844966563,0,0.072674871,11.46611936,0.269269833,0.007165267,0.580473467,2.995732274,28.78669004,0.688640499,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ALT,2017,0.023392924,-3.731650818,0,0.118995631,11.35854365,0.084697872,0.004922474,0.369202475,2.995732274,28.67793837,0.680837291,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALT,2022,0.028861005,-3.515978237,0,0.119337433,11.49457662,0.297920352,0.00712632,0.42508586,2.995732274,28.92239926,0.6812802,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ALT,2023,0.04920138,-2.961380617,0,0.212158445,11.51420392,0.325017669,0.006866826,0.405820888,2.995732274,28.94892524,0.681117594,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ALT,2021,0.002899799,-5.840209933,0,0.228220509,11.44181324,0.222704479,0.007374356,0.43929346,2.995732274,28.88547497,0.680880849,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
AMC,2022,0.036715778,-3.267141938,0,0.025827359,10.87433933,0.332605171,0.028869792,1.311748353,2.564949357,30.94073363,0.677597795,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
AMC,2019,0.007939611,-4.827919763,0,0.039672947,10.96613075,0.466673439,0.017135364,0.953245671,2.564949357,30.64146925,0.681670595,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
AMC,2020,0.01891557,-3.948673118,0,0.044329002,10.98105987,0.477264174,0.024918618,1.423779497,2.564949357,30.65175177,0.686476795,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AMC,2023,0.021747156,-3.806285168,0,0.052092614,10.894105,0.346710557,0.028407201,0.968686986,2.564949357,30.9809903,0.68011784,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AMC,2018,0.03737166,-3.248754726,0,0.114644774,10.93426508,0.454032448,0.008962885,1.093164327,2.564949357,30.62126581,0.662437057,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMC,2017,0.026756928,-3.593840438,0,0.17284565,10.9471138,0.429780949,0.004506369,1.08390336,2.397895273,30.33164085,0.680346625,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMC,2021,0.033775212,-3.353669338,0,0.217118676,10.93198769,0.411024487,0.027958298,1.273334341,2.564949357,30.83202911,0.678832659,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
AMC,2016,0.013085696,-4.323063499,0,0.285757046,10.92604641,0.407589407,0.006337832,1.39746752,2.397895273,30.28014888,0.657189602,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AME,2020,0.011815694,-4.42644058,0,0.008766131,12.31661353,0.842658502,0.010980511,1.212951353,1.386294361,31.01756508,0.674425673,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AME,2017,0.007667754,-4.863034237,0,0.009060528,11.72497285,0.720513317,0.011756609,1.269833925,1.386294361,30.32198521,0.673874018,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AME,2019,0.015223617,-4.169566645,0,0.010141956,12.04546413,0.725930466,0.012143899,0.654188254,1.386294361,30.75906801,0.673765855,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
AME,2023,0.028267297,-3.537375211,0,0.012987409,12.40071787,0.687247897,0.009536971,0.4639995,1.386294361,31.69190262,0.656663774,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AME,2018,0.040231198,-3.172049654,0,0.018333143,11.83030093,0.753086018,0.013763528,0.459742447,1.386294361,30.54197043,0.660469109,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AME,2016,0.025174598,-3.656422919,0,0.06952189,11.65063456,0.695288199,0.001400959,0.537016034,1.386294361,29.89534765,0.662773854,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AME,2022,0.009339653,-4.66410267,0,0.092163369,12.33147886,0.643072759,0.01001546,0.715267221,1.386294361,31.63794851,0.654454478,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
AME,2021,0.011561888,-4.448411848,0,0.157217799,12.46288736,0.881151729,0.010479404,0.781455215,1.386294361,31.79667107,0.663954062,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
AMV,2017,0.010009992,-4.594111072,0,0.132119095,11.61834728,0.153767327,0.104974308,2.769995124,1.098612289,27.83932936,0.601406737,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AMV,2016,0.018004196,-3.99898222,0,1.125107272,10.31007667,0.410037437,0.04818958,2.634234842,1.098612289,27.4650082,0.582941904,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AMV,2018,0.087237737,-2.347838455,0,1.452726373,11.8140382,0.125133033,0.191121962,1.079610904,1.098612289,28.04588516,0.585252376,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AMV,2019,0.022371642,-3.777335405,0,1.491105498,11.94050616,0.092187706,0.177222867,0.637821307,1.098612289,28.18684893,0.609501263,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
AMV,2022,0.607385567,0.436335746,0,3.57154675,12.30144522,0.16241114,0.146979738,0.312755742,1.098612289,28.72771723,0.616367029,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
